stationid,toxbatch,matrix,lab,species,dilution,treatment,concentration,concentrationunits,endpoint,labrep,result,resultunits,qacode,sampletypecode,fieldreplicate,samplecollectdate,comments,ObjectId
B18-10238,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,421
B18-10238,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,422
B18-10238,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,423
B18-10238,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,424
B18-10876,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,425
B18-10876,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,426
B18-10876,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,427
B18-10876,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,428
B18-10242,8/7B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/08/01 07:00:00+00,"eoh on water surface day 1, 2, 3, 5, and 9, resubmerged",429
0000,8/14B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/08/14 07:00:00+00,"eoh on water surface day 2, resubmerged",430
0000,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,90,percentage,A,CNEG,1,2018/09/04 07:00:00+00,"aeration off on day 7, adjusted by technician",431
B18-10146,8/17B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,5,percentage,A,Grab,1,2018/08/10 07:00:00+00,"aeration off on day 0, 1, 4, and 5, adjusted by technician; eohs on water surface day 1 and 2, resubmerged; eohs on top of sediment day 1-9; eohs in water column day 2;  film on sediment day 6-8",432
B18-10244,9/18B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/09/11 07:00:00+00,"eoh on water surface day 2, 4, 5, 7-9, resubmerged; eohs in water column day 1; neonates (6) found on day 10",433
B18-10876,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,434
B18-10875,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,435
B18-10875,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,436
B18-10875,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,437
B18-10875,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,Grab,1,2018/07/31 07:00:00+00,,438
B18-10875,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,Grab,1,2018/07/31 07:00:00+00,,439
B18-10115,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,55,percentage,A,QA,1,2018/07/31 07:00:00+00,,440
B18-10115,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,85,percentage,A,QA,1,2018/07/31 07:00:00+00,,441
B18-10115,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,QA,1,2018/07/31 07:00:00+00,,442
B18-10115,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,80,percentage,A,QA,1,2018/07/31 07:00:00+00,,443
B18-10115,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95,percentage,A,QA,1,2018/07/31 07:00:00+00,,444
B18-10178,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,90,percentage,A,QA,1,2018/07/31 07:00:00+00,,445
B18-10178,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,90,percentage,A,QA,1,2018/07/31 07:00:00+00,,446
B18-10178,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,QA,1,2018/07/31 07:00:00+00,,447
B18-10178,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,80,percentage,A,QA,1,2018/07/31 07:00:00+00,,448
B18-10178,eeBHT180731,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,80,percentage,A,QA,1,2018/07/31 07:00:00+00,,449
0000,eeBHT180807,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,95,percentage,A,CNEG,1,2018/08/07 07:00:00+00,,450
0000,eeBHT180807,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,CNEG,1,2018/08/07 07:00:00+00,,451
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,0,mg/L,Percent normal-alive,3,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,452
0000,eeBHT180807,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,90,percentage,A,CNEG,1,2018/08/07 07:00:00+00,,453
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,0,mg/L,Percent normal-alive,4,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,454
0000,eeBHT180807,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,CNEG,1,2018/08/07 07:00:00+00,,455
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,1,90,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,456
0000,eeBHT180807,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,CNEG,1,2018/08/07 07:00:00+00,,457
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,2,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,458
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,3,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,459
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,4,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,460
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,1,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,461
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,2,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,462
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,3,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,463
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,4,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,464
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,1,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,465
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,2,90,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,466
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,3,90,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,467
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,4,100,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,468
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,1,70,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,469
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,2,50,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,470
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,3,60,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,471
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,4,80,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,472
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,250,mg/L,Percent normal-alive,1,0,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,473
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,250,mg/L,Percent normal-alive,2,0,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,474
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,250,mg/L,Percent normal-alive,3,0,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,475
0000,RT 3,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,250,mg/L,Percent normal-alive,4,0,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,476
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,0,mg/L,Percent normal-alive,1,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,477
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,0,mg/L,Percent normal-alive,2,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,478
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,0,mg/L,Percent normal-alive,3,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,479
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,0,mg/L,Percent normal-alive,4,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,480
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,1,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,481
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,2,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,482
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,3,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,483
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,15.6,mg/L,Percent normal-alive,4,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,484
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,1,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,485
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,2,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,486
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,3,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,487
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,31.2,mg/L,Percent normal-alive,4,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,488
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,1,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,489
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,2,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,490
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,3,100,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,491
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,62.5,mg/L,Percent normal-alive,4,90,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,492
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,1,70,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,493
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,2,60,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,494
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,3,80,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,495
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,125,mg/L,Percent normal-alive,4,70,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,496
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,250,mg/L,Percent normal-alive,1,0,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,497
0000,RT 4,Reference Toxicant,NOAA,Eohaustorius estuarius,-88,None,250,mg/L,Percent normal-alive,2,0,percentage,A,RFNH3,1,2018/08/02 07:00:00+00,,498
0000,9/28B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/28 07:00:00+00,"eohs on water surface day 1 and 3, resubmerged; neonates (5) found on day 4",499
0000,9/28B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,2,80,percentage,A,RFNH3,1,2018/09/28 07:00:00+00,"eoh on water surface day 1 and 2, resubmerged; neonates (5) found on day 4",500
0000,9/28B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/09/28 07:00:00+00,"eoh on water surface day 1-3, resubmerged",501
0000,9/28B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,4,80,percentage,A,RFNH3,1,2018/09/28 07:00:00+00,"eoh on water surface day 1 and 2, resubmerged; neonates (3) found on day 4",502
0000,9/28B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,1,80,percentage,A,RFNH3,1,2018/09/28 07:00:00+00,"eohs on water surface day 1 and 2, resubmerged; neonates (2 dead) found on day 4",503
0000,9/28B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,2,80,percentage,A,RFNH3,1,2018/09/28 07:00:00+00,"eohs on water surface day 1-3, resubmerged; neonates (6 dead) found on day 4",504
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,2,30,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1-3, resubmerged; dead neonates present on day 4",505
0000,eert180713,Reference Toxicant,City of San Diego,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,1,80,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,506
B18-10276,eeBHT180807,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,90,percentage,A,Grab,1,2018/08/07 07:00:00+00,,507
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,250,mg/L,4 day survival percent,3,20,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1 and 2, resubmerged; dead neonates present on day 4",508
0000,eert180713,Reference Toxicant,City of San Diego,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,2,70,percentage,A,RFNH3,1,2018/07/13 07:00:00+00,,509
0000,9/14B18RTeeaB,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1-3, resubmerged",510
0000,9/28B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,125,mg/L,4 day survival percent,3,90,percentage,A,RFNH3,1,2018/09/28 07:00:00+00,"eohs on water surface day 1-3, resubmerged; neonates (1 alive, 5 dead) found on day 4",511
B18-10276,eeBHT180807,Whole Sediment,City of San Diego,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,Grab,1,2018/08/07 07:00:00+00,,512
0000,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,"aeration off on day 1, adjusted by technician",513
0000,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,,514
0000,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,,515
0000,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,aeration increased on day 0,516
B18-10772,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,Grab,1,2018/08/31 07:00:00+00,film on sediment days 3-10 ,517
B18-10772,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,80,percentage,A,Grab,1,2018/08/31 07:00:00+00,"eoh on top of sediment day 1; film on sediment days 3-10",518
B18-10772,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,90,percentage,A,Grab,1,2018/08/31 07:00:00+00,film on sediment days 3-10 ,519
B18-10772,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/08/31 07:00:00+00,"aeration increased on day 0; film on sediment day 3 and 5-10.",520
B18-10772,9/14B18eeaA,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,82.609,percentage,A,Grab,1,2018/08/31 07:00:00+00,"initial count changed to 23 eohs, 3 extra eohs found on day 10; aeration increased on day 0; aeration off on day 1, adjusted by technician; eoh on water surface day 1, resubmerged; eoh on top of sediment day 8; film on sediment days 3-10",521
0000,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,,522
0000,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,,523
0000,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,,524
0000,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,,525
0000,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,CNEG,1,2018/09/04 07:00:00+00,,526
B18-10774,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,5,percentage,A,Grab,1,2018/08/31 07:00:00+00,"eohs on water surface day 1-5 and 7, resubmerged; eohs on top of sediment day 1-7",527
B18-10774,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,0,percentage,A,Grab,1,2018/08/31 07:00:00+00,"eohs on water surface day 2 and 4, resubmerged; eohs on top of sediment day 2, 3, 5, and 6; eohs in water column day 1",528
B18-10774,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,0,percentage,A,Grab,1,2018/08/31 07:00:00+00,"eohs on water surface day 1-3 and 7, resubmerged; eohs on top of sediment day 1-7",529
B18-10774,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,0,percentage,A,Grab,1,2018/08/31 07:00:00+00,"eohs on water surface day 1-3, resubmerged; eohs on top of sediment day 1-3",530
0000,7/27B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/07/27 07:00:00+00,"eohs on water surface on day 1 and 3, resubmerged",531
0000,7/27B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/07/27 07:00:00+00,"eohs on water surface on day 1 and 3, resubmerged",532
0000,7/27B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/07/27 07:00:00+00,,533
0000,7/27B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/07/27 07:00:00+00,"eohs on water surface on day 1, resubmerged",534
B18-10774,9/14B18eeaB,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,0,percentage,A,Grab,1,2018/08/31 07:00:00+00,"eohs on water surface day 1, resubmerged; eohs on top of sediment day 1-3",535
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,1,90,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1, 2 and 4, resubmerged",536
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 2, resubmerged; neonates present on day 4",537
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,,538
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1, 2 and 4, resubmerged",539
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1, 2 and 4, resubmerged; neonates present on day 4",540
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eoh on water surface day 1-4, resubmerged",541
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,3,90,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1-4, resubmerged; neonates present on day 4",542
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1, resubmerged",543
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1-4, resubmerged",544
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eoh on water surface day 3, resubmerged",545
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1 and 2, resubmerged; neonates present on day 4",546
0000,9/14B18RTeeaA,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/14 07:00:00+00,"eohs on water surface day 1, 2 and 4, resubmerged",547
